warn: LLAMA_ARG_REPACK environment variable is set, but will be overwritten by command line argument --no-repack
0.00.037.095 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.100 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.100 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.101 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.101 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.101 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.102 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.102 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.104 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.105 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.105 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.105 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.106 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.106 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.037.106 W DEPRECATED: argument '--tensor-filter' specified multiple times, use comma-separated values instead (only last value will be used)
[E2-FOLD] arch=qwen35moe experts_folded R=-1 lead=0 unique_ffn=10/48 gamma=1.000 map=[E2-FOLD] shared expert follows the LOGICAL layer
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,26,26,26,26,30,30,32,32,32,32,32,32,38,38,38,41,41,41,44,45,46,47
[E2-FOLD] mixer (attn / delta-net) is NOT folded — logical index kept
0.00.642.778 W model has unused tensor blk.5.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.642.831 W model has unused tensor blk.5.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.642.834 W model has unused tensor blk.5.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.642.835 W model has unused tensor blk.5.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.642.866 W model has unused tensor blk.6.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.642.916 W model has unused tensor blk.6.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.642.919 W model has unused tensor blk.6.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.642.921 W model has unused tensor blk.6.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.642.948 W model has unused tensor blk.7.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.642.987 W model has unused tensor blk.7.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.642.990 W model has unused tensor blk.7.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.642.991 W model has unused tensor blk.7.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.019 W model has unused tensor blk.8.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.643.069 W model has unused tensor blk.8.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.072 W model has unused tensor blk.8.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.074 W model has unused tensor blk.8.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.104 W model has unused tensor blk.9.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.643.156 W model has unused tensor blk.9.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.159 W model has unused tensor blk.9.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.160 W model has unused tensor blk.9.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.189 W model has unused tensor blk.10.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.643.242 W model has unused tensor blk.10.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.245 W model has unused tensor blk.10.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.247 W model has unused tensor blk.10.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.276 W model has unused tensor blk.11.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.643.317 W model has unused tensor blk.11.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.321 W model has unused tensor blk.11.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.322 W model has unused tensor blk.11.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.351 W model has unused tensor blk.12.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.643.404 W model has unused tensor blk.12.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.407 W model has unused tensor blk.12.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.409 W model has unused tensor blk.12.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.437 W model has unused tensor blk.13.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.643.490 W model has unused tensor blk.13.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.493 W model has unused tensor blk.13.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.494 W model has unused tensor blk.13.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.524 W model has unused tensor blk.14.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.643.577 W model has unused tensor blk.14.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.581 W model has unused tensor blk.14.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.583 W model has unused tensor blk.14.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.613 W model has unused tensor blk.15.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.643.656 W model has unused tensor blk.15.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.660 W model has unused tensor blk.15.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.661 W model has unused tensor blk.15.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.690 W model has unused tensor blk.16.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.643.742 W model has unused tensor blk.16.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.746 W model has unused tensor blk.16.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.747 W model has unused tensor blk.16.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.776 W model has unused tensor blk.17.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.643.828 W model has unused tensor blk.17.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.832 W model has unused tensor blk.17.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.833 W model has unused tensor blk.17.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.863 W model has unused tensor blk.18.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.643.917 W model has unused tensor blk.18.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.920 W model has unused tensor blk.18.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.922 W model has unused tensor blk.18.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.643.952 W model has unused tensor blk.19.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.643.997 W model has unused tensor blk.19.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.000 W model has unused tensor blk.19.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.002 W model has unused tensor blk.19.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.032 W model has unused tensor blk.20.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.644.086 W model has unused tensor blk.20.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.089 W model has unused tensor blk.20.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.091 W model has unused tensor blk.20.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.121 W model has unused tensor blk.21.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.644.180 W model has unused tensor blk.21.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.183 W model has unused tensor blk.21.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.185 W model has unused tensor blk.21.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.314 W model has unused tensor blk.23.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.644.357 W model has unused tensor blk.23.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.360 W model has unused tensor blk.23.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.362 W model has unused tensor blk.23.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.392 W model has unused tensor blk.24.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.644.445 W model has unused tensor blk.24.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.448 W model has unused tensor blk.24.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.450 W model has unused tensor blk.24.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.479 W model has unused tensor blk.25.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.644.536 W model has unused tensor blk.25.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.539 W model has unused tensor blk.25.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.541 W model has unused tensor blk.25.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.674 W model has unused tensor blk.27.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.644.720 W model has unused tensor blk.27.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.724 W model has unused tensor blk.27.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.725 W model has unused tensor blk.27.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.755 W model has unused tensor blk.28.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.644.808 W model has unused tensor blk.28.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.811 W model has unused tensor blk.28.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.813 W model has unused tensor blk.28.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.842 W model has unused tensor blk.29.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.644.896 W model has unused tensor blk.29.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.899 W model has unused tensor blk.29.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.644.901 W model has unused tensor blk.29.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.032 W model has unused tensor blk.31.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.645.078 W model has unused tensor blk.31.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.081 W model has unused tensor blk.31.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.083 W model has unused tensor blk.31.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.212 W model has unused tensor blk.33.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.645.265 W model has unused tensor blk.33.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.268 W model has unused tensor blk.33.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.270 W model has unused tensor blk.33.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.299 W model has unused tensor blk.34.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.645.351 W model has unused tensor blk.34.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.354 W model has unused tensor blk.34.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.356 W model has unused tensor blk.34.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.387 W model has unused tensor blk.35.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.645.429 W model has unused tensor blk.35.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.433 W model has unused tensor blk.35.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.434 W model has unused tensor blk.35.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.464 W model has unused tensor blk.36.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.645.517 W model has unused tensor blk.36.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.521 W model has unused tensor blk.36.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.522 W model has unused tensor blk.36.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.552 W model has unused tensor blk.37.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.645.604 W model has unused tensor blk.37.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.608 W model has unused tensor blk.37.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.609 W model has unused tensor blk.37.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.746 W model has unused tensor blk.39.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.645.790 W model has unused tensor blk.39.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.794 W model has unused tensor blk.39.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.796 W model has unused tensor blk.39.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.826 W model has unused tensor blk.40.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.645.881 W model has unused tensor blk.40.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.885 W model has unused tensor blk.40.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.645.887 W model has unused tensor blk.40.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.646.022 W model has unused tensor blk.42.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.646.076 W model has unused tensor blk.42.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.646.080 W model has unused tensor blk.42.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.646.082 W model has unused tensor blk.42.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
0.00.646.114 W model has unused tensor blk.43.post_attention_norm.weight (size = 12288 bytes) -- ignoring
0.00.646.160 W model has unused tensor blk.43.ffn_down_exps.weight (size = 346030080 bytes) -- ignoring
0.00.646.163 W model has unused tensor blk.43.ffn_gate_exps.weight (size = 346030080 bytes) -- ignoring
0.00.646.165 W model has unused tensor blk.43.ffn_up_exps.weight (size = 346030080 bytes) -- ignoring
common_debug_cb_eval:         ffn_moe_probs-23 = (f32)   SOFT_MAX(ffn_moe_logits-23{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0011,       0.0011,       0.0020,    ...,       0.0074,       0.0028,       0.0019  ],
            [      0.1541,       0.0033,       0.0060,    ...,       0.0016,       0.0018,       0.0051  ],
        ],
    ]
    sum = 2.000001
common_debug_cb_eval:         ffn_moe_probs-24 = (f32)   SOFT_MAX(ffn_moe_logits-24{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0001,       0.0003,       0.0011,    ...,       0.0050,       0.0019,       0.0012  ],
            [      0.0014,       0.0108,       0.0016,    ...,       0.0040,       0.0014,       0.0025  ],
        ],
    ]
    sum = 2.000001
common_debug_cb_eval:         ffn_moe_probs-25 = (f32)   SOFT_MAX(ffn_moe_logits-25{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0011,       0.0015,       0.0006,    ...,       0.0090,       0.0078,       0.0016  ],
            [      0.0173,       0.0129,       0.0084,    ...,       0.0032,       0.0027,       0.0017  ],
        ],
    ]
    sum = 2.000000
common_debug_cb_eval:         ffn_moe_probs-27 = (f32)   SOFT_MAX(ffn_moe_logits-27{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0009,       0.0026,       0.0002,    ...,       0.0080,       0.0027,       0.0063  ],
            [      0.0023,       0.0019,       0.0023,    ...,       0.0086,       0.0029,       0.0042  ],
        ],
    ]
    sum = 2.000000
common_debug_cb_eval:         ffn_moe_probs-28 = (f32)   SOFT_MAX(ffn_moe_logits-28{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0002,       0.0005,       0.0004,    ...,       0.0079,       0.0013,       0.0039  ],
            [      0.0005,       0.0047,       0.0008,    ...,       0.0035,       0.0022,       0.0026  ],
        ],
    ]
    sum = 2.000001
common_debug_cb_eval:         ffn_moe_probs-29 = (f32)   SOFT_MAX(ffn_moe_logits-29{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0020,       0.0010,       0.0009,    ...,       0.0026,       0.0011,       0.0009  ],
            [      0.0023,       0.0010,       0.0030,    ...,       0.0034,       0.0024,       0.0014  ],
        ],
    ]
    sum = 2.000000
common_debug_cb_eval:         ffn_moe_probs-31 = (f32)   SOFT_MAX(ffn_moe_logits-31{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0015,       0.0009,       0.0001,    ...,       0.0018,       0.0002,       0.0016  ],
            [      0.0029,       0.0020,       0.0017,    ...,       0.0027,       0.0007,       0.0023  ],
        ],
    ]
    sum = 2.000000
common_debug_cb_eval:         ffn_moe_probs-33 = (f32)   SOFT_MAX(ffn_moe_logits-33{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0002,       0.0002,       0.0003,    ...,       0.0086,       0.0002,       0.0019  ],
            [      0.0019,       0.0021,       0.0043,    ...,       0.0033,       0.0008,       0.0023  ],
        ],
    ]
    sum = 2.000000
common_debug_cb_eval:         ffn_moe_probs-34 = (f32)   SOFT_MAX(ffn_moe_logits-34{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0007,       0.0007,       0.0004,    ...,       0.0142,       0.0011,       0.0011  ],
            [      0.0009,       0.0054,       0.0083,    ...,       0.0022,       0.0052,       0.0062  ],
        ],
    ]
    sum = 2.000000
common_debug_cb_eval:         ffn_moe_probs-35 = (f32)   SOFT_MAX(ffn_moe_logits-35{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0005,       0.0002,       0.0005,    ...,       0.0000,       0.0001,       0.0004  ],
            [      0.0030,       0.0022,       0.0166,    ...,       0.0007,       0.0009,       0.0026  ],
        ],
    ]
    sum = 2.000000
common_debug_cb_eval:         ffn_moe_probs-36 = (f32)   SOFT_MAX(ffn_moe_logits-36{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0001,       0.0001,       0.0000,    ...,       0.0004,       0.0020,       0.0004  ],
            [      0.0034,       0.0025,       0.0008,    ...,       0.0015,       0.0160,       0.0031  ],
        ],
    ]
    sum = 2.000000
common_debug_cb_eval:         ffn_moe_probs-37 = (f32)   SOFT_MAX(ffn_moe_logits-37{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0001,       0.0001,       0.0000,    ...,       0.0003,       0.0004,       0.0076  ],
            [      0.0046,       0.0012,       0.0009,    ...,       0.0011,       0.0016,       0.0014  ],
        ],
    ]
    sum = 2.000000
common_debug_cb_eval:         ffn_moe_probs-39 = (f32)   SOFT_MAX(ffn_moe_logits-39{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0001,       0.0003,       0.0053,    ...,       0.0006,       0.0000,       0.0020  ],
            [      0.0024,       0.0018,       0.0118,    ...,       0.0038,       0.0001,       0.0042  ],
        ],
    ]
    sum = 2.000000
common_debug_cb_eval:         ffn_moe_probs-40 = (f32)   SOFT_MAX(ffn_moe_logits-40{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0026,       0.0002,       0.0048,    ...,       0.0052,       0.0010,       0.0047  ],
            [      0.0037,       0.0008,       0.0046,    ...,       0.0049,       0.0070,       0.0066  ],
        ],
    ]
    sum = 2.000000
common_debug_cb_eval:         ffn_moe_probs-42 = (f32)   SOFT_MAX(ffn_moe_logits-42{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0009,       0.0014,       0.0008,    ...,       0.0016,       0.0083,       0.0196  ],
            [      0.0010,       0.0023,       0.0015,    ...,       0.0047,       0.0057,       0.0020  ],
        ],
    ]
    sum = 1.999999
common_debug_cb_eval:         ffn_moe_probs-43 = (f32)   SOFT_MAX(ffn_moe_logits-43{256, 2, 1, 1}, }) = {256, 2, 1, 1}
    [
        [
            [      0.0010,       0.0011,       0.0010,    ...,       0.0035,       0.0024,       0.0059  ],
            [      0.0023,       0.0019,       0.0017,    ...,       0.0048,       0.0026,       0.0066  ],
        ],
    ]
    sum = 2.000000
0.27.087.499 I 
0.27.087.553 I system_info: n_threads = 8 (n_threads_batch = 8) / 10 | MTL : EMBED_LIBRARY = 1 | CPU : NEON = 1 | ARM_FMA = 1 | FP16_VA = 1 | DOTPROD = 1 | LLAMAFILE = 1 | ACCELERATE = 1 | REPACK = 1 | 
0.27.087.554 I 
common_debug_cb_eval:         ffn_moe_probs-23 = (f32)   SOFT_MAX(ffn_moe_logits-23{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0010,       0.0012,       0.0020,    ...,       0.0073,       0.0029,       0.0019  ],
            [      0.0009,       0.0017,       0.0013,    ...,       0.0031,       0.0024,       0.0052  ],
            [      0.0004,       0.0009,       0.0024,    ...,       0.0020,       0.0040,       0.0028  ],
            ..., 
            [      0.0002,       0.0008,       0.0004,    ...,       0.0037,       0.0013,       0.0005  ],
            [      0.0002,       0.0011,       0.0006,    ...,       0.0040,       0.0019,       0.0005  ],
            [      0.0002,       0.0004,       0.0005,    ...,       0.0033,       0.0011,       0.0005  ],
        ],
    ]
    sum = 512.002136
common_debug_cb_eval:         ffn_moe_probs-24 = (f32)   SOFT_MAX(ffn_moe_logits-24{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0001,       0.0003,       0.0011,    ...,       0.0048,       0.0020,       0.0012  ],
            [      0.0011,       0.0007,       0.0009,    ...,       0.0010,       0.0014,       0.0027  ],
            [      0.0010,       0.0009,       0.0013,    ...,       0.0045,       0.0027,       0.0055  ],
            ..., 
            [      0.0020,       0.0007,       0.1097,    ...,       0.0024,       0.0040,       0.0029  ],
            [      0.0028,       0.0003,       0.0021,    ...,       0.0033,       0.0041,       0.0029  ],
            [      0.0025,       0.0006,       0.0037,    ...,       0.0028,       0.0033,       0.0038  ],
        ],
    ]
    sum = 511.998962
common_debug_cb_eval:         ffn_moe_probs-25 = (f32)   SOFT_MAX(ffn_moe_logits-25{256, 512, 1, 1}, }) = {256, 512, 1, 1}
    [
        [
            [      0.0010,       0.0015,       0.0006,    ...,       0.0089,       0.0079,       0.0016  ],
            [      0.0019,       0.0073,       0.0008,    ...,       0.0020,       0.0026,       0.0025  ],
